Unit 1,Unit 2,Shared perim (meters)
17031804513,17031804514,3706.364925
17031804513,17031804506,1247.715103
17031804513,17031804406,2194.110967
17031804513,17031804512,3004.947236
17031804315,17031804506,1370.652346
17031804315,17031804508,0
17031804315,17031804306,1172.224478
17031804315,17031804316,2435.500323
17031809401,17031810000,786.1440648
17031809401,17031809900,1974.836835
17031809401,17031809800,0
17031809401,17031809500,677.3871871
17031809401,17031808702,1454.056087
17031320102,17031320400,721.7064168
17031320102,17031839100,607.0581299
17031320102,17031320101,871.6686462
17031320102,17031081403,325.5860859
17031320102,17031081600,0
17031320102,17031081500,348.1509424
17031803615,17031803603,1727.683433
17031803615,17031803608,1863.838864
17031803613,17031803605,0
17031803613,17031803005,0
17031803613,17031803608,446.9335298
17031803613,17031803012,651.6203897
17031803613,17031803611,1829.781859
